alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,10,0,0.3535562739561095,0.6511111111111111,0.7973894686175912,0.1,0.0,0.00031498989137751043,0.024184220955198787,0.012171746713741738
ModifiedNMF,10,1,0.36020575679411887,0.653888888888889,0.7991757375927969,0.1,0.5,0.0007628381504115594,0.020088538590849483,0.010150844971295014
ModifiedNMF,10,2,0.35010289223751007,0.663888888888889,0.7990175531459779,0.1,1.0,0.0010517784219881978,0.0085616861152347,0.007828625177631988
NmfHyperEstimator,10,0,0.35377375252337623,0.6833333333333333,0.8359710167349672,0.1,0.0,0.0013393219908429566,0.020879578303295687,0.011818277169044135
NmfHyperEstimator,10,1,0.3605644323677127,0.6666666666666666,0.821592290460323,0.1,0.5,0.0006760610481421627,0.016782008296659132,0.010059851435149491
NmfHyperEstimator,10,2,0.35123927720531334,0.6855555555555556,0.8202149387273645,0.1,1.0,0.0028704519440007387,0.0297494683010895,0.02198483155353614
NmfL1Estimator,10,0,0.42254958524567454,0.2227777777777778,0.40916542838143605,0.1,0.0,0.002454119298309244,0.007190099503080445,0.01289483846976449
NmfL1Estimator,10,1,0.4160419624730597,0.21833333333333332,0.41408548505276804,0.1,0.5,0.001099186864687399,0.010130323627116926,0.009303085838868866
NmfL1Estimator,10,2,0.40467147717665625,0.21388888888888893,0.41424588231068926,0.1,1.0,0.0008455571855804086,0.005555555555555542,0.010808377586090255
NmfL2Estimator,10,0,0.35634327897018353,0.6633333333333333,0.8124198363056522,0.1,0.0,0.0005677020736446755,0.019083960041464117,0.00696303795500492
NmfL2Estimator,10,1,0.36265523516807213,0.6599999999999999,0.810091969049828,0.1,0.5,0.0006828709419088274,0.034838693544695855,0.013940312353032357
NmfL2Estimator,10,2,0.3527852657507868,0.6511111111111111,0.7980781202742306,0.1,1.0,0.0012358496108985594,0.02535245379801034,0.014883829869676695
