alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,30,0,0.1381823299152055,0.7025,0.8391931692289962,0.0,0.5,0.0019877557357049847,0.037133626943782354,0.023506975891389212
ModifiedNMF,30,1,0.31722037740641235,0.68625,0.8294069355457208,0.1,0.5,0.0016775466505908985,0.02843578291519335,0.015246398181637368
ModifiedNMF,30,2,0.3996461531653642,0.60625,0.780307335875256,0.2,0.5,0.0016372144264506405,0.031868871959954956,0.012445670943928802
ModifiedNMF,30,3,0.4530244750346332,0.5162500000000001,0.7139611371592764,0.30000000000000004,0.5,0.0013692880240337283,0.032953565816160185,0.018590695979917658
ModifiedNMF,30,4,0.4922841864503885,0.44000000000000006,0.6491347614450044,0.4,0.5,0.0012283495334498191,0.02850438562747845,0.026755816558086017
ModifiedNMF,30,5,0.5224349384554097,0.39875,0.620394714013706,0.5,0.5,0.001091519850462549,0.035189220650648126,0.026596124441823573
ModifiedNMF,50,0,0.11238885793452957,0.6699999999999999,0.8133479048236575,0.0,0.5,0.0018563115850469124,0.036012150727219805,0.013626917345584254
ModifiedNMF,50,1,0.28709375184983166,0.63125,0.7839023755536482,0.1,0.5,0.0015205974452449135,0.023385358667337153,0.013777421618440581
ModifiedNMF,50,2,0.36358442957809506,0.5437500000000001,0.7260588469290163,0.2,0.5,0.0013858498241543927,0.027950849718747377,0.0189986617470374
ModifiedNMF,50,3,0.4133442013373315,0.47375000000000006,0.6676082550292302,0.30000000000000004,0.5,0.0012066750087596006,0.032894243417351914,0.027441591850356658
ModifiedNMF,50,4,0.4496680035274344,0.41,0.6065989076857767,0.4,0.5,0.0011003132600927452,0.04064903135377275,0.039245633464482205
ModifiedNMF,50,5,0.477666738298101,0.37,0.5703059798270654,0.5,0.5,0.0009334237353954533,0.03377314021526574,0.019044536693018452
NmfHyperEstimator,30,0,0.14213269295563652,0.7725000000000001,0.8879095551078201,0.0,0.5,0.0036391286417044345,0.028159700815172013,0.00892420025057873
NmfHyperEstimator,30,1,0.31453126411111887,0.72,0.8469863914571183,0.1,0.5,0.001717616626970566,0.02091650066335187,0.017368693424177066
NmfHyperEstimator,30,2,0.3953287672921708,0.63375,0.7906157040420945,0.2,0.5,0.0015114263984391037,0.018006075363609965,0.014772786690942426
NmfHyperEstimator,30,3,0.4478537555105312,0.51125,0.7068964354654396,0.30000000000000004,0.5,0.0012717891450259643,0.032295026706909535,0.009397211113122713
NmfHyperEstimator,30,4,0.4862006556125268,0.43499999999999994,0.6429520056687176,0.4,0.5,0.0012221625988221745,0.025995792928856776,0.025973673267680134
NmfHyperEstimator,30,5,0.5156586731603323,0.40499999999999997,0.6223732657655179,0.5,0.5,0.0009462153119107878,0.0173430461568895,0.015513728983503713
NmfHyperEstimator,50,0,0.1296700206351844,0.775,0.8799441569727552,0.0,0.5,0.01650383797659754,0.021194781197266494,0.011244394237434176
NmfHyperEstimator,50,1,0.2836024988759049,0.67875,0.8134645813233737,0.1,0.5,0.0007213950829092102,0.019565594803123174,0.009723216432617055
NmfHyperEstimator,50,2,0.3551463440675935,0.55125,0.7196024413650388,0.2,0.5,0.0009511813795151795,0.03518922065064814,0.025103401911417647
NmfHyperEstimator,50,3,0.4015635344919379,0.47250000000000003,0.6582302976863155,0.30000000000000004,0.5,0.0010566096665437182,0.04275657844121767,0.03131973302632753
NmfHyperEstimator,50,4,0.43613021823033665,0.39,0.6033641408240685,0.4,0.5,0.000806924900588359,0.021919597395937733,0.015931024538444943
NmfHyperEstimator,50,5,0.4619656518892034,0.36750000000000005,0.5864783696629197,0.5,0.5,0.0009187052733367997,0.030745934690622135,0.02629575294610164
NmfL1Estimator,30,0,0.15180251134566577,0.76125,0.8782485891632899,0.0,0.5,0.0017692293295754802,0.031684479639091455,0.013237811383457731
NmfL1Estimator,30,1,0.32641922243880417,0.66625,0.8079674115501897,0.1,0.5,0.0015647497010328458,0.02100967039246451,0.009702810625860769
NmfL1Estimator,30,2,0.40795565325339683,0.54875,0.7407866758879045,0.2,0.5,0.0012918941651319327,0.04664527039261323,0.022856208135512496
NmfL1Estimator,30,3,0.4609602810662395,0.45,0.6666558969100841,0.30000000000000004,0.5,0.0011028653590141938,0.02499999999999999,0.010618689141110157
NmfL1Estimator,30,4,0.4994704648283469,0.39375,0.6189602291005413,0.4,0.5,0.0012598332090093776,0.018221724671391555,0.0037493362716576207
NmfL1Estimator,30,5,0.5295879785251942,0.3625,0.6033344376309955,0.5,0.5,0.0010934239245280046,0.01169267933366857,0.011447451043330847
NmfL1Estimator,50,0,0.132481817855296,0.7537499999999999,0.8684434380367708,0.0,0.5,0.001511197769998522,0.021009670392464527,0.012050064126359901
NmfL1Estimator,50,1,0.3026021879903598,0.62375,0.7787800908277589,0.1,0.5,0.0017144460208688595,0.027027185388049567,0.02545971688631466
NmfL1Estimator,50,2,0.37799404693455474,0.4675000000000001,0.6708739801905551,0.2,0.5,0.001736861707013762,0.031374750995027845,0.024418407886198805
NmfL1Estimator,50,3,0.42620137476229997,0.40124999999999994,0.6230141309374717,0.30000000000000004,0.5,0.0016939405319074106,0.025541020927128184,0.01914075534200514
NmfL1Estimator,50,4,0.46193207937048186,0.34375,0.5783119857468393,0.4,0.5,0.0014670796468802029,0.009882117688026205,0.014079579782455583
NmfL1Estimator,50,5,0.48886624161425873,0.34125,0.5642824910087095,0.5,0.5,0.0008137099865153425,0.019565594803123157,0.010344789800678206
NmfL2Estimator,30,0,0.1516594749023253,0.76375,0.8798039660016042,0.0,0.5,0.002026171805762833,0.02476451594519873,0.012860114855517777
NmfL2Estimator,30,1,0.32631690551751863,0.6625000000000001,0.8126483506574459,0.1,0.5,0.0016424442470426013,0.019764235376052385,0.011940330329685639
NmfL2Estimator,30,2,0.40792995407184607,0.5537500000000001,0.7372747740243775,0.2,0.5,0.0013925906802085867,0.048129058270446126,0.02887002072491151
NmfL2Estimator,30,3,0.4608401372026979,0.46375,0.6706655684756567,0.30000000000000004,0.5,0.001340328873405662,0.027027185388049567,0.01333089412263085
NmfL2Estimator,30,4,0.4995256100645803,0.40625,0.6372015081442285,0.4,0.5,0.001386822864631718,0.009882117688026175,0.014461317524752108
NmfL2Estimator,30,5,0.5297990289325127,0.36499999999999994,0.5978039153937195,0.5,0.5,0.0013017808780347584,0.016298006013006648,0.016489932220780754
NmfL2Estimator,50,0,0.13249475209,0.7575000000000001,0.8806197775487415,0.0,0.5,0.0023446680177826662,0.03259601202601321,0.014704773092372093
