,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
0,ModifiedNMF,50,{},0,0,0.1142224408925833,0.675,0.8189376263387464,0.0,0.0
1,NmfL2Estimator,50,{},0,0,0.13369572122378337,0.76875,0.8690874711954956,0.0,0.0
2,NmfHyperEstimator,50,{},0,0,0.11097717051167669,0.75625,0.8676671767759722,0.0,0.0
3,NmfL1Estimator,50,{},0,0,0.29874872617679654,0.325,0.551828667877659,0.0,0.0
4,ModifiedNMF,50,{},0,1,0.11568650684660696,0.68125,0.8242141508336265,0.0,0.0
5,NmfL2Estimator,50,{},0,1,0.134766390335579,0.7125,0.8491667104274907,0.0,0.0
6,NmfHyperEstimator,50,{},0,1,0.12873783050635276,0.775,0.8726644703626035,0.0,0.0
7,NmfL1Estimator,50,{},0,1,0.30147821932455465,0.3125,0.5607462878050913,0.0,0.0
8,ModifiedNMF,50,{},0,2,0.11583970829762083,0.6875,0.8305621772036124,0.0,0.0
9,NmfL2Estimator,50,{},0,2,0.13521923753087617,0.74375,0.8744478128358032,0.0,0.0
10,NmfHyperEstimator,50,{},0,2,0.14029327794763466,0.7875,0.9033107344585418,0.0,0.0
11,NmfL1Estimator,50,{},0,2,0.3044887446737697,0.3,0.5462257719466072,0.0,0.0
12,ModifiedNMF,50,{},0,3,0.11684585017127785,0.65625,0.7972672136220545,0.0,0.0
13,NmfL2Estimator,50,{},0,3,0.13686032585820895,0.725,0.8446681331603441,0.0,0.0
14,NmfHyperEstimator,50,{},0,3,0.13027480308953115,0.7625,0.8790270929837036,0.0,0.0
15,NmfL1Estimator,50,{},0,3,0.30412074248071314,0.325,0.5568718033418925,0.0,0.0
16,ModifiedNMF,50,{},0,4,0.11633660583852494,0.675,0.8189110625569361,0.0,0.0
17,NmfL2Estimator,50,{},0,4,0.13571151027596967,0.74375,0.8629862579191739,0.0,0.0
18,NmfHyperEstimator,50,{},0,4,0.1365908884235486,0.71875,0.8593334649432803,0.0,0.0
19,NmfL1Estimator,50,{},0,4,0.3026803089390433,0.325,0.5198330989482678,0.0,0.0
20,ModifiedNMF,50,{},1,0,0.11147854553948895,0.6875,0.8164447496006031,0.0,5.0
21,NmfL2Estimator,50,{},1,0,0.13135168854748192,0.7375,0.848630340143462,0.0,5.0
22,NmfHyperEstimator,50,{},1,0,0.11147301466348818,0.7625,0.8604791668783615,0.0,5.0
23,NmfL1Estimator,50,{},1,0,0.28477902103690056,0.3125,0.5533806914517918,0.0,5.0
24,ModifiedNMF,50,{},1,1,0.11236131706205069,0.675,0.8186080801032031,0.0,5.0
25,NmfL2Estimator,50,{},1,1,0.13252620100052426,0.725,0.8472953181326035,0.0,5.0
