,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,30,{},0,0,0.14077413668750702,0.69375,0.8365110654524093,0.0,0.5
1,ModifiedNMF,50,{},0,0,0.11467129028221427,0.69375,0.8224668198706481,0.0,0.5
2,NmfL2Estimator,30,{},0,0,0.1536885058967508,0.74375,0.8629020394634105,0.0,0.5
3,NmfL2Estimator,50,{},0,0,0.13525513713421644,0.74375,0.8672222075612127,0.0,0.5
4,NmfHyperEstimator,30,{},0,0,0.13927590907030593,0.775,0.8867070499463935,0.0,0.5
5,NmfHyperEstimator,50,{},0,0,0.13875557402405048,0.775,0.865673535341881,0.0,0.5
6,NmfL1Estimator,30,{},0,0,0.1539090398837804,0.73125,0.8591852811708184,0.0,0.5
7,NmfL1Estimator,50,{},0,0,0.1340256029080882,0.75,0.868794533404577,0.0,0.5
8,ModifiedNMF,30,{},0,1,0.13653240513807802,0.6625,0.8277138824895224,0.0,0.5
9,ModifiedNMF,50,{},0,1,0.11071791139203437,0.66875,0.8115518121943549,0.0,0.5
10,NmfL2Estimator,30,{},0,1,0.1493637530738921,0.75,0.8790503534429861,0.0,0.5
11,NmfL2Estimator,50,{},0,1,0.1316973440951905,0.70625,0.8624367354045999,0.0,0.5
12,NmfHyperEstimator,30,{},0,1,0.14101959429603525,0.7375,0.8756233313081767,0.0,0.5
13,NmfHyperEstimator,50,{},0,1,0.11233887135142838,0.75,0.8759571181692916,0.0,0.5
14,NmfL1Estimator,30,{},0,1,0.1501619538320979,0.7375,0.8725173137170356,0.0,0.5
15,NmfL1Estimator,50,{},0,1,0.13124829916396205,0.73125,0.8551411033878046,0.0,0.5
16,ModifiedNMF,30,{},0,2,0.1393812590983681,0.70625,0.8316980129567797,0.0,0.5
17,ModifiedNMF,50,{},0,2,0.11392969007140012,0.65625,0.8060782641220966,0.0,0.5
18,NmfL2Estimator,30,{},0,2,0.1536999046507886,0.80625,0.8991393662005109,0.0,0.5
19,NmfL2Estimator,50,{},0,2,0.13433948269902538,0.78125,0.8915171885861373,0.0,0.5
20,NmfHyperEstimator,30,{},0,2,0.13873610403952058,0.78125,0.8940906275219299,0.0,0.5
21,NmfHyperEstimator,50,{},0,2,0.14337379353914867,0.78125,0.8911533519287782,0.0,0.5
22,NmfL1Estimator,30,{},0,2,0.15312967234933392,0.78125,0.8879435695784771,0.0,0.5
23,NmfL1Estimator,50,{},0,2,0.13404552070943648,0.76875,0.8765446273816481,0.0,0.5
24,ModifiedNMF,30,{},0,3,0.13596388035751927,0.6875,0.8201830145430855,0.0,0.5
25,ModifiedNMF,50,{},0,3,0.11057391242544765,0.7125,0.8306928690906973,0.0,0.5
26,NmfL2Estimator,30,{},0,3,0.14996707616901628,0.7625,0.8790602027120993,0.0,0.5
27,NmfL2Estimator,50,{},0,3,0.1293495406318118,0.78125,0.8876332755933126,0.0,0.5
28,NmfHyperEstimator,30,{},0,3,0.14425011274363944,0.8125,0.8986789124634873,0.0,0.5
29,NmfHyperEstimator,50,{},0,3,0.14281388736933454,0.80625,0.8917058651308089,0.0,0.5
30,NmfL1Estimator,30,{},0,3,0.14990026628724484,0.80625,0.8927521565632041,0.0,0.5
31,NmfL1Estimator,50,{},0,3,0.1308275511472926,0.78125,0.8836424609251677,0.0,0.5
32,ModifiedNMF,30,{},0,4,0.13825996829455517,0.7625,0.8798598707031848,0.0,0.5
33,ModifiedNMF,50,{},0,4,0.11205148550155145,0.61875,0.7959497588404904,0.0,0.5
34,NmfL2Estimator,30,{},0,4,0.15157813472117865,0.75625,0.8788678681890134,0.0,0.5
35,NmfL2Estimator,50,{},0,4,0.13183225588975572,0.775,0.8942894805984455,0.0,0.5
36,NmfHyperEstimator,30,{},0,4,0.14738174462868142,0.75625,0.8844478542991131,0.0,0.5
37,NmfHyperEstimator,50,{},0,4,0.11106797689195995,0.7625,0.8752309142930161,0.0,0.5
38,NmfL1Estimator,30,{},0,4,0.1519116243758718,0.75,0.8788446247869139,0.0,0.5
39,NmfL1Estimator,50,{},0,4,0.13226211534770055,0.7375,0.8580944650846565,0.0,0.5
40,ModifiedNMF,30,{},1,0,0.3169654007510261,0.7125,0.8315182816372501,0.1,0.5
41,ModifiedNMF,50,{},1,0,0.2864830126410802,0.6125,0.7783692923640092,0.1,0.5
42,NmfL2Estimator,30,{},1,0,0.3263557938964858,0.65,0.8090770784028884,0.1,0.5
43,NmfL2Estimator,50,{},1,0,0.30199964676703694,0.56875,0.7611862821401479,0.1,0.5
44,NmfHyperEstimator,30,{},1,0,0.3142832075648988,0.70625,0.8347963843093343,0.1,0.5
45,NmfHyperEstimator,50,{},1,0,0.28372835802697693,0.675,0.8007844405152321,0.1,0.5
46,NmfL1Estimator,30,{},1,0,0.3259580006765286,0.675,0.8178062132497845,0.1,0.5
47,NmfL1Estimator,50,{},1,0,0.30250752430898054,0.58125,0.7443419387884136,0.1,0.5
48,ModifiedNMF,30,{},1,1,0.3153651809184502,0.6375,0.8027986782374347,0.1,0.5
49,ModifiedNMF,50,{},1,1,0.28555396072955364,0.64375,0.7854946176176135,0.1,0.5
50,NmfL2Estimator,30,{},1,1,0.32468260522139963,0.6375,0.7971892673680724,0.1,0.5
51,NmfL2Estimator,50,{},1,1,0.3006744241811255,0.625,0.7913516728901467,0.1,0.5
52,NmfHyperEstimator,30,{},1,1,0.31220828806938894,0.74375,0.8741970486516363,0.1,0.5
53,NmfHyperEstimator,50,{},1,1,0.2826527824915109,0.675,0.8104132951181712,0.1,0.5
54,NmfL1Estimator,30,{},1,1,0.32476724210761027,0.65625,0.815756512246439,0.1,0.5
55,NmfL1Estimator,50,{},1,1,0.3003316276292886,0.64375,0.8053654100164863,0.1,0.5
56,ModifiedNMF,30,{},1,2,0.3197720552106749,0.69375,0.8385703227281567,0.1,0.5
57,ModifiedNMF,50,{},1,2,0.28935399138981027,0.65,0.7863745191008225,0.1,0.5
58,NmfL2Estimator,30,{},1,2,0.3289119718999639,0.6875,0.8244418474928464,0.1,0.5
59,NmfL2Estimator,50,{},1,2,0.30431738073562487,0.625,0.7802423809166157,0.1,0.5
60,NmfHyperEstimator,30,{},1,2,0.3168082782940977,0.7375,0.8540241202333764,0.1,0.5
61,NmfHyperEstimator,50,{},1,2,0.2846670337756095,0.66875,0.8128745852954162,0.1,0.5
62,NmfL1Estimator,30,{},1,2,0.32899414398264143,0.66875,0.7942322549439753,0.1,0.5
63,NmfL1Estimator,50,{},1,2,0.304865721329157,0.61875,0.7687260012255178,0.1,0.5
64,ModifiedNMF,30,{},1,3,0.317755059108921,0.69375,0.8398868227324383,0.1,0.5
65,ModifiedNMF,50,{},1,3,0.2878726257532801,0.6,0.7656771738283287,0.1,0.5
66,NmfL2Estimator,30,{},1,3,0.3264819160847794,0.675,0.8075124644395525,0.1,0.5
67,NmfL2Estimator,50,{},1,3,0.30233980741213884,0.58125,0.7458943708571749,0.1,0.5
68,NmfHyperEstimator,30,{},1,3,0.31542495288600864,0.71875,0.8394824141920141,0.1,0.5
69,NmfHyperEstimator,50,{},1,3,0.2834534868527046,0.7125,0.8277295910183491,0.1,0.5
70,NmfL1Estimator,30,{},1,3,0.3264283508347225,0.69375,0.809402958652686,0.1,0.5
71,NmfL1Estimator,50,{},1,3,0.30350864464196015,0.625,0.772924609318845,0.1,0.5
72,ModifiedNMF,30,{},1,4,0.31624419104298973,0.69375,0.8342605723933235,0.1,0.5
73,ModifiedNMF,50,{},1,4,0.28620516873543417,0.65,0.8035962748574668,0.1,0.5
74,NmfL2Estimator,30,{},1,4,0.3251522404849643,0.6625,0.8250210955838693,0.1,0.5
75,NmfL2Estimator,50,{},1,4,0.30181513269204696,0.58125,0.7609762482078354,0.1,0.5
76,NmfHyperEstimator,30,{},1,4,0.31393159374120017,0.69375,0.8324319898992307,0.1,0.5
77,NmfHyperEstimator,50,{},1,4,0.2835108332327227,0.6625,0.8155209946697005,0.1,0.5
78,NmfL1Estimator,30,{},1,4,0.32594837459251824,0.6375,0.8026391186580634,0.1,0.5
79,NmfL1Estimator,50,{},1,4,0.3017974220424126,0.65,0.8025424947895317,0.1,0.5
80,ModifiedNMF,30,{},2,0,0.39971828419418615,0.56875,0.7668876677567303,0.2,0.5
81,ModifiedNMF,50,{},2,0,0.3631219952151125,0.55,0.7330400620971742,0.2,0.5
82,NmfL2Estimator,30,{},2,0,0.40817716049893843,0.53125,0.7069590627223591,0.2,0.5
83,NmfL2Estimator,50,{},2,0,0.3771788401378583,0.4625,0.663971764794894,0.2,0.5
84,NmfHyperEstimator,30,{},2,0,0.39541481049198873,0.63125,0.7856553436571502,0.2,0.5
85,NmfHyperEstimator,50,{},2,0,0.3554870892169675,0.54375,0.7105861272474745,0.2,0.5
86,NmfL1Estimator,30,{},2,0,0.4088502420887634,0.51875,0.7219327993830608,0.2,0.5
87,NmfL1Estimator,50,{},2,0,0.3782038701753576,0.44375,0.6660613597943285,0.2,0.5
88,ModifiedNMF,30,{},2,1,0.3974481361319038,0.58125,0.7672821582986371,0.2,0.5
89,ModifiedNMF,50,{},2,1,0.36197272977332023,0.5,0.6984543000952756,0.2,0.5
90,NmfL2Estimator,30,{},2,1,0.40643365177636864,0.48125,0.7051344461235094,0.2,0.5
91,NmfL2Estimator,50,{},2,1,0.37592966835634417,0.45625,0.6620297833356422,0.2,0.5
92,NmfHyperEstimator,30,{},2,1,0.3933290721117552,0.63125,0.8086711032412194,0.2,0.5
93,NmfHyperEstimator,50,{},2,1,0.3554409241681027,0.50625,0.6904946362498288,0.2,0.5
94,NmfL1Estimator,30,{},2,1,0.40651491953444213,0.56875,0.756875560967276,0.2,0.5
95,NmfL1Estimator,50,{},2,1,0.3758638397797611,0.48125,0.6844363731212316,0.2,0.5
96,ModifiedNMF,30,{},2,2,0.4017923398222948,0.60625,0.7846496317247793,0.2,0.5
97,ModifiedNMF,50,{},2,2,0.3656080095763253,0.55625,0.7487763737699968,0.2,0.5
98,NmfL2Estimator,30,{},2,2,0.4098485968507631,0.5875,0.7572759398572528,0.2,0.5
99,NmfL2Estimator,50,{},2,2,0.37990445178661525,0.5,0.6938063093131556,0.2,0.5
100,NmfHyperEstimator,30,{},2,2,0.39714807944665725,0.65,0.8021839319307825,0.2,0.5
101,NmfHyperEstimator,50,{},2,2,0.3560444585629722,0.6,0.7589859135480352,0.2,0.5
102,NmfL1Estimator,30,{},2,2,0.4093182576182401,0.5375,0.745899262569922,0.2,0.5
103,NmfL1Estimator,50,{},2,2,0.3797570069888962,0.49375,0.6774371273502307,0.2,0.5
104,ModifiedNMF,30,{},2,3,0.40043571507602044,0.64375,0.7931915414542159,0.2,0.5
105,ModifiedNMF,50,{},2,3,0.3642320985283224,0.575,0.7325870172938743,0.2,0.5
106,NmfL2Estimator,30,{},2,3,0.40847605148894917,0.6,0.7648510132027133,0.2,0.5
107,NmfL2Estimator,50,{},2,3,0.378512793696323,0.50625,0.6871928336907276,0.2,0.5
108,NmfHyperEstimator,30,{},2,3,0.39632911821320044,0.65,0.7847793009545926,0.2,0.5
109,NmfHyperEstimator,50,{},2,3,0.3552263151071392,0.56875,0.7144831076035884,0.2,0.5
110,NmfL1Estimator,30,{},2,3,0.40844463185116003,0.61875,0.7665053490893353,0.2,0.5
111,NmfL1Estimator,50,{},2,3,0.3795500074476331,0.425,0.6314557736795894,0.2,0.5
112,ModifiedNMF,30,{},2,4,0.3988362906024158,0.63125,0.7895256801419178,0.2,0.5
