,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,20,{},0,0,0.2161547297007827,0.16758747697974216,0.22917742581245412,0.0,0.5
1,NmfL2Estimator,20,{},0,0,0.22290549512600383,0.18139963167587478,0.2520111791696851,0.0,0.5
2,NmfHyperEstimator,20,{},0,0,0.4962745792411589,0.106353591160221,0.12753663745198354,0.0,0.5
3,NmfL1Estimator,20,{},0,0,0.3267502034385312,0.08379373848987108,0.08871481777824258,0.0,0.5
4,ModifiedNMF,20,{},0,1,0.2160913220760598,0.1574585635359116,0.2219404482144798,0.0,0.5
5,NmfL2Estimator,20,{},0,1,0.22203183946908733,0.19613259668508287,0.27843297233563435,0.0,0.5
6,NmfHyperEstimator,20,{},0,1,0.4965573517020039,0.10174953959484347,0.10377855912235127,0.0,0.5
7,NmfL1Estimator,20,{},0,1,0.3329165967171044,0.08931860036832412,0.08539165232124077,0.0,0.5
8,ModifiedNMF,20,{},0,2,0.21684427364812164,0.143646408839779,0.20579001306928157,0.0,0.5
9,NmfL2Estimator,20,{},0,2,0.22260406410704436,0.18462246777163904,0.2716048087220536,0.0,0.5
10,NmfHyperEstimator,20,{},0,2,0.4955646288529495,0.09530386740331492,0.09318662307132584,0.0,0.5
11,NmfL1Estimator,20,{},0,2,0.33369794414092463,0.0847145488029466,0.08320583748871561,0.0,0.5
12,ModifiedNMF,20,{},0,3,0.21636291628003837,0.19060773480662985,0.24894679066655812,0.0,0.5
13,NmfL2Estimator,20,{},0,3,0.2221498753358341,0.19797421731123388,0.2677019116027911,0.0,0.5
14,NmfHyperEstimator,20,{},0,3,0.4950981291631862,0.11049723756906077,0.13749875965469346,0.0,0.5
15,NmfL1Estimator,20,{},0,3,0.32813972817898224,0.0856353591160221,0.10176213940692734,0.0,0.5
16,ModifiedNMF,20,{},0,4,0.21554160065880365,0.15423572744014732,0.21079802299807762,0.0,0.5
17,NmfL2Estimator,20,{},0,4,0.2235381484820299,0.18001841620626152,0.23835034510214861,0.0,0.5
18,NmfHyperEstimator,20,{},0,4,0.49680874286029664,0.10451197053406998,0.12044277616809139,0.0,0.5
19,NmfL1Estimator,20,{},0,4,0.32860044782102427,0.08747697974217311,0.0861738398294232,0.0,0.5
20,ModifiedNMF,20,{},1,0,0.4726075135004638,0.1662062615101289,0.21226266940963046,0.1,0.5
21,NmfL2Estimator,20,{},1,0,0.4755876192909353,0.18370165745856354,0.24836809090619621,0.1,0.5
22,NmfHyperEstimator,20,{},1,0,0.47479272720528143,0.1427255985267035,0.1773368578349243,0.1,0.5
23,NmfL1Estimator,20,{},1,0,0.524594989266086,0.08425414364640885,0.08954230288243004,0.1,0.5
24,ModifiedNMF,20,{},1,1,0.4715246179746122,0.16758747697974216,0.21342072766552744,0.1,0.5
25,NmfL2Estimator,20,{},1,1,0.47425498451092396,0.18922651933701656,0.2571515171461399,0.1,0.5
26,NmfHyperEstimator,20,{},1,1,0.4710689157441028,0.17955801104972377,0.23348162482081905,0.1,0.5
27,NmfL1Estimator,20,{},1,1,0.5209817686202117,0.0865561694290976,0.07834351966993859,0.1,0.5
28,ModifiedNMF,20,{},1,2,0.4732342430644761,0.16160220994475138,0.21936542855726726,0.1,0.5
29,NmfL2Estimator,20,{},1,2,0.47653187800937763,0.18830570902394106,0.26820353040418976,0.1,0.5
30,NmfHyperEstimator,20,{},1,2,0.4722648549456407,0.16758747697974216,0.23213984499319631,0.1,0.5
31,NmfL1Estimator,20,{},1,2,0.526555217733712,0.08839779005524862,0.08748060195209445,0.1,0.5
32,ModifiedNMF,20,{},1,3,0.47112007456601473,0.17587476979742173,0.21627593538993012,0.1,0.5
33,NmfL2Estimator,20,{},1,3,0.4735407448204131,0.1841620626151013,0.23421063193709504,0.1,0.5
34,NmfHyperEstimator,20,{},1,3,0.47190328650911567,0.16988950276243095,0.2175318917284757,0.1,0.5
35,NmfL1Estimator,20,{},1,3,0.5246984343439813,0.08931860036832412,0.08064094698414016,0.1,0.5
