,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,50,{},0,0,0.1671732380647081,0.21777163904235727,0.290177627635081,0.0,0.5
1,NmfL2Estimator,50,{},0,0,0.18229502093211475,0.2440147329650092,0.32053648515759753,0.0,0.5
2,NmfHyperEstimator,50,{},0,0,0.4926026998424125,0.11049723756906077,0.1339483042900455,0.0,0.5
3,NmfL1Estimator,50,{},0,0,0.3236757297966094,0.08701657458563536,0.09212454060741264,0.0,0.5
4,ModifiedNMF,50,{},0,1,0.16613440985509323,0.23066298342541436,0.2998806507066992,0.0,0.5
5,NmfL2Estimator,50,{},0,1,0.18119739566009954,0.24953959484346225,0.3344723994597299,0.0,0.5
6,NmfHyperEstimator,50,{},0,1,0.16374497081830716,0.20626151012891344,0.26546916976004076,0.0,0.5
7,NmfL1Estimator,50,{},0,1,0.32276171369844936,0.0865561694290976,0.09132649910784461,0.0,0.5
8,ModifiedNMF,50,{},0,2,0.16705267067674273,0.21408839779005526,0.26408671054078114,0.0,0.5
9,NmfL2Estimator,50,{},0,2,0.18279620287663872,0.2343462246777164,0.32393492695533466,0.0,0.5
10,NmfHyperEstimator,50,{},0,2,0.4926940642367947,0.10865561694290976,0.11901352540652944,0.0,0.5
11,NmfL1Estimator,50,{},0,2,0.32595285994041184,0.08287292817679558,0.08099225897062319,0.0,0.5
12,ModifiedNMF,50,{},0,3,0.16619835947453548,0.23572744014732966,0.32056542088287565,0.0,0.5
13,NmfL2Estimator,50,{},0,3,0.1817733338925727,0.2619705340699816,0.3473002588418394,0.0,0.5
14,NmfHyperEstimator,50,{},0,3,0.16823239905167278,0.2136279926335175,0.28591326531842165,0.0,0.5
15,NmfL1Estimator,50,{},0,3,0.3297223713429666,0.08195211786372007,0.09422911739028515,0.0,0.5
16,ModifiedNMF,50,{},0,4,0.167197782021297,0.23342541436464087,0.30662605960010225,0.0,0.5
17,NmfL2Estimator,50,{},0,4,0.18303913354076043,0.251841620626151,0.3168239926461266,0.0,0.5
18,NmfHyperEstimator,50,{},0,4,0.4938621801780646,0.10681399631675875,0.13744345746437384,0.0,0.5
19,NmfL1Estimator,50,{},0,4,0.3297645763707386,0.08701657458563536,0.08333805312524105,0.0,0.5
20,ModifiedNMF,50,{},0,5,0.16692337090327322,0.22421731123388583,0.2814844592991534,0.0,0.5
21,NmfL2Estimator,50,{},0,5,0.18192289684211937,0.24953959484346225,0.3166962112952605,0.0,0.5
22,NmfHyperEstimator,50,{},0,5,0.4926836735815038,0.11924493554327809,0.15540786719239286,0.0,0.5
23,NmfL1Estimator,50,{},0,5,0.32702164434521125,0.08195211786372007,0.0813989567360879,0.0,0.5
24,ModifiedNMF,50,{},0,6,0.16684669619994374,0.24125230202578268,0.30636162259181055,0.0,0.5
25,NmfL2Estimator,50,{},0,6,0.18265150677556485,0.24861878453038674,0.3343593873784275,0.0,0.5
26,NmfHyperEstimator,50,{},0,6,0.17117626166382024,0.1910681399631676,0.2489738877206776,0.0,0.5
27,NmfL1Estimator,50,{},0,6,0.32532186583127765,0.0865561694290976,0.07775388048225994,0.0,0.5
28,ModifiedNMF,50,{},0,7,0.16565464224650517,0.20810313075506445,0.29989830719474403,0.0,0.5
29,NmfL2Estimator,50,{},0,7,0.18127620943523914,0.24125230202578268,0.3100737255201377,0.0,0.5
30,NmfHyperEstimator,50,{},0,7,0.17542948738806013,0.19429097605893186,0.25973978276957466,0.0,0.5
31,NmfL1Estimator,50,{},0,7,0.3293045303560807,0.09069981583793739,0.09289040220748845,0.0,0.5
32,ModifiedNMF,50,{},0,8,0.16728343778826335,0.19244935543278086,0.2761229759013795,0.0,0.5
33,NmfL2Estimator,50,{},0,8,0.18046712228576867,0.24079189686924493,0.33589585508395664,0.0,0.5
34,NmfHyperEstimator,50,{},0,8,0.49382687500643396,0.11694290976058933,0.15494126376694295,0.0,0.5
35,NmfL1Estimator,50,{},0,8,0.32696305401267695,0.08747697974217311,0.0812236710424129,0.0,0.5
36,ModifiedNMF,50,{},0,9,0.16635327030547853,0.23388581952117865,0.3246771546320171,0.0,0.5
37,NmfL2Estimator,50,{},0,9,0.18101965425304484,0.2619705340699816,0.34594230703348666,0.0,0.5
38,NmfHyperEstimator,50,{},0,9,0.49363309951605194,0.11049723756906077,0.13241678813157667,0.0,0.5
39,NmfL1Estimator,50,{},0,9,0.32726566386001044,0.08287292817679558,0.09172849985163074,0.0,0.5
40,ModifiedNMF,50,{},1,0,0.4562942642633175,0.20211786372007368,0.25869694279945105,0.1,0.5
41,NmfL2Estimator,50,{},1,0,0.4615496642323354,0.24079189686924493,0.3233052707576557,0.1,0.5
42,NmfHyperEstimator,50,{},1,0,0.4621307759908078,0.17587476979742173,0.23039588128422767,0.1,0.5
43,NmfL1Estimator,50,{},1,0,0.525541127648437,0.08425414364640885,0.09064273244419122,0.1,0.5
44,ModifiedNMF,50,{},1,1,0.45460084019084007,0.20395948434622468,0.2608809670774721,0.1,0.5
45,NmfL2Estimator,50,{},1,1,0.46039656231155796,0.22329650092081033,0.27408800293284075,0.1,0.5
46,NmfHyperEstimator,50,{},1,1,0.4552277761595557,0.1860036832412523,0.2392625822497373,0.1,0.5
47,NmfL1Estimator,50,{},1,1,0.5212980078516727,0.08287292817679558,0.08010013467730419,0.1,0.5
48,ModifiedNMF,50,{},1,2,0.45669835397159547,0.2058011049723757,0.2808324108339827,0.1,0.5
49,NmfL2Estimator,50,{},1,2,0.4622611436700495,0.22790055248618785,0.31302764649429615,0.1,0.5
50,NmfHyperEstimator,50,{},1,2,0.46284733708568976,0.1703499079189687,0.22091954974109534,0.1,0.5
51,NmfL1Estimator,50,{},1,2,0.5252072451583015,0.09069981583793739,0.08946577449225844,0.1,0.5
52,ModifiedNMF,50,{},1,3,0.4546315751844318,0.20626151012891344,0.2666604421652647,0.1,0.5
53,NmfL2Estimator,50,{},1,3,0.46042426028130296,0.22605893186003684,0.31330517950254994,0.1,0.5
54,NmfHyperEstimator,50,{},1,3,0.4561505971431353,0.1910681399631676,0.25137319763929417,0.1,0.5
55,NmfL1Estimator,50,{},1,3,0.5234311347733083,0.08287292817679558,0.07680816487867798,0.1,0.5
56,ModifiedNMF,50,{},1,4,0.4553552697984294,0.2067219152854512,0.2753304338169744,0.1,0.5
57,NmfL2Estimator,50,{},1,4,0.46052994201867536,0.21178637200736647,0.30639325219795,0.1,0.5
58,NmfHyperEstimator,50,{},1,4,0.4620542219888342,0.17265193370165746,0.22030391799833307,0.1,0.5
59,NmfL1Estimator,50,{},1,4,0.5213551436905288,0.08839779005524862,0.08242090746956833,0.1,0.5
