alg,n_components,noise_id,rre_mean,acc_mean,nmi_mean,p,r,rre_sd,acc_sd,nmi_sd
ModifiedNMF,10,0,0.3603269250068754,0.6481481481481481,0.7919006237219371,0.10000000000000002,0.5,0.00042015912940191304,0.023295825232239165,0.014698607972929129
ModifiedNMF,20,0,0.34601105208230054,0.6648148148148149,0.8038071851639789,0.10000000000000002,0.5,0.0003590831868262318,0.037815884919744684,0.019579708343412938
ModifiedNMF,30,0,0.33639663328307434,0.6657407407407409,0.8050493767649938,0.10000000000000002,0.5,0.000474256961074865,0.016276292436339778,0.0043631504431773365
ModifiedNMF,40,0,0.32856451707400974,0.6361111111111111,0.7876654456603882,0.10000000000000002,0.5,0.0003498983260153027,0.012729376930432862,0.005568906015324145
ModifiedNMF,50,0,0.3212553290574676,0.6342592592592592,0.7692533890171059,0.10000000000000002,0.5,0.00044509119931915704,0.03951220054324418,0.021966631714694023
NmfHyperEstimator,10,0,0.3613777467757176,0.6546296296296296,0.809649631917115,0.10000000000000002,0.5,0.0010287005674398757,0.023295825232239085,0.01197382996912921
NmfHyperEstimator,20,0,0.3502877628881876,0.6879629629629629,0.8174274653501516,0.10000000000000002,0.5,0.0013589848764090915,0.026979263489506394,0.01822846497384869
NmfHyperEstimator,30,0,0.3375486958168319,0.7138888888888889,0.8390364332540402,0.10000000000000002,0.5,0.0035761017221238615,0.02003084041924443,0.017740468138501938
NmfHyperEstimator,40,0,0.3302824925519107,0.6851851851851851,0.8258679714961242,0.10000000000000002,0.5,0.0019275156096905909,0.008486251286955243,0.001953766567606064
NmfHyperEstimator,50,0,0.32134584971770624,0.7129629629629629,0.8239397850055227,0.10000000000000002,0.5,0.0027830950225343994,0.01529880707579474,0.009672141681880403
NmfL1Estimator,10,0,0.41690357963614244,0.20833333333333334,0.39773221645412815,0.10000000000000002,0.5,0.0008240912693697898,0.01734721666221778,0.021114456120928948
NmfL1Estimator,20,0,0.41857106229013114,0.19074074074074074,0.3863817356552601,0.10000000000000002,0.5,0.000786811867183798,0.0016037507477489688,0.008382745660547062
NmfL1Estimator,30,0,0.4181244016212567,0.19259259259259257,0.37518198678499465,0.10000000000000002,0.5,0.0011584567940672763,0.006415002990995851,0.023296039678960354
NmfL1Estimator,40,0,0.41722092985606224,0.19166666666666665,0.37241227506061786,0.10000000000000002,0.5,0.0009907525110791728,0.004811252243246882,0.007203384837339956
NmfL1Estimator,50,0,0.41683049746519735,0.19259259259259257,0.3647966958761561,0.10000000000000002,0.5,0.0006001958109147658,0.011564811108145173,0.007417681594669707
NmfL2Estimator,10,0,0.36267055670258647,0.6296296296296297,0.7929904740914552,0.10000000000000002,0.5,0.0010680735441165668,0.00424312564347763,0.011197873614273072
NmfL2Estimator,20,0,0.351178685205179,0.6620370370370371,0.8077090348464505,0.10000000000000002,0.5,0.0003771122533453874,0.02520492146077077,0.010689318538993024
NmfL2Estimator,30,0,0.3430803228569727,0.6601851851851852,0.8036656764352038,0.10000000000000002,0.5,0.00044528425326254093,0.02891202777036298,0.019239079704228355
NmfL2Estimator,40,0,0.3371398760707122,0.6509259259259259,0.7921255425950137,0.10000000000000002,0.5,0.0005484629123788395,0.027404904790645782,0.013587616814307141
NmfL2Estimator,50,0,0.33129858221654573,0.6583333333333333,0.7977771556686787,0.10000000000000002,0.5,0.0005355230468728596,0.03643021402389998,0.023080143800994383
