,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,mean,sigma
0,ModifiedNMF,50,{},0,0,0.16699004964313963,0.2214548802946593,0.3037601660534235,0.0,0.0
1,NmfL2Estimator,50,{},0,0,0.18133691441451766,0.2361878453038674,0.31942570136356685,0.0,0.0
2,NmfHyperEstimator,50,{},0,0,0.14856853790503266,0.22790055248618785,0.2785252189854076,0.0,0.0
3,NmfL1Estimator,50,{},0,0,0.3263955952324681,0.08149171270718232,0.08677869236077129,0.0,0.0
4,ModifiedNMF,50,{},0,1,0.16694930720544002,0.21500920810313076,0.2847031341778473,0.0,0.0
5,NmfL2Estimator,50,{},0,1,0.18286735592509779,0.2532228360957643,0.3151271436054044,0.0,0.0
6,NmfHyperEstimator,50,{},0,1,0.16931107454417849,0.18922651933701656,0.26188079811485343,0.0,0.0
7,NmfL1Estimator,50,{},0,1,0.3256754910251143,0.0925414364640884,0.0892702185674094,0.0,0.0
8,ModifiedNMF,50,{},0,2,0.1660352042151947,0.20718232044198895,0.25537702980408455,0.0,0.0
9,NmfL2Estimator,50,{},0,2,0.18142036014751078,0.22513812154696133,0.30364465348243935,0.0,0.0
10,NmfHyperEstimator,50,{},0,2,0.4932352777086376,0.11187845303867404,0.1399639931662182,0.0,0.0
11,NmfL1Estimator,50,{},0,2,0.32834521636195446,0.0856353591160221,0.08460673812692254,0.0,0.0
12,ModifiedNMF,50,{},1,0,0.1418519980450735,0.26427255985267034,0.345552189159206,0.0,5.0
13,NmfL2Estimator,50,{},1,0,0.15622175109533773,0.22605893186003684,0.31471367948184126,0.0,5.0
14,NmfHyperEstimator,50,{},1,0,0.1491570346755884,0.2048802946593002,0.27571398628159427,0.0,5.0
15,NmfL1Estimator,50,{},1,0,0.29727741171715283,0.08425414364640885,0.08275627295456808,0.0,5.0
16,ModifiedNMF,50,{},1,1,0.14169498856869867,0.22053406998158379,0.3004648320328566,0.0,5.0
17,NmfL2Estimator,50,{},1,1,0.15750424224830475,0.22513812154696133,0.3296853806389495,0.0,5.0
18,NmfHyperEstimator,50,{},1,1,0.16265662823739815,0.20165745856353592,0.2516007554108521,0.0,5.0
19,NmfL1Estimator,50,{},1,1,0.2933352650900285,0.08977900552486189,0.09168903097361736,0.0,5.0
20,ModifiedNMF,50,{},1,2,0.1416344334047343,0.20165745856353592,0.2893269812430345,0.0,5.0
21,NmfL2Estimator,50,{},1,2,0.15798859632133852,0.23250460405156537,0.31494236862548725,0.0,5.0
22,NmfHyperEstimator,50,{},1,2,0.16423583087356278,0.18738489871086556,0.25420065097528705,0.0,5.0
23,NmfL1Estimator,50,{},1,2,0.2936356051544916,0.08379373848987108,0.08316248249832423,0.0,5.0
24,ModifiedNMF,50,{},2,0,0.1337936127931987,0.21178637200736647,0.256443468655363,0.0,10.0
25,NmfL2Estimator,50,{},2,0,0.1489718959476984,0.23342541436464087,0.31385312342100863,0.0,10.0
26,NmfHyperEstimator,50,{},2,0,0.16870498539642606,0.16022099447513813,0.19742901471632762,0.0,10.0
27,NmfL1Estimator,50,{},2,0,0.2861312552152949,0.08425414364640885,0.08421507563858334,0.0,10.0
28,ModifiedNMF,50,{},2,1,0.1341584574613857,0.23802946593001842,0.3300095274098156,0.0,10.0
