,alg,n_components,kwargs,noise_id,trial_id,rre,acc_score,nmi_score,p,r
0,ModifiedNMF,50,{},0,0,0.16671407659819681,0.21224677716390425,0.26290598336665405,0.0,0.5
1,NmfL2Estimator,50,{},0,0,0.18238609851011572,0.2610497237569061,0.35940429897554266,0.0,0.5
2,NmfHyperEstimator,50,{},0,0,0.16780932774942828,0.20119705340699817,0.27546326143343114,0.0,0.5
3,NmfL1Estimator,50,{},0,0,0.33378237342072414,0.08793738489871086,0.08984475577979545,0.0,0.5
4,ModifiedNMF,50,{},0,1,0.166773900461174,0.2550644567219153,0.32433492514501105,0.0,0.5
5,NmfL2Estimator,50,{},0,1,0.18317038204445613,0.2527624309392265,0.3332121027731379,0.0,0.5
6,NmfHyperEstimator,50,{},0,1,0.49362942267855736,0.11786372007366483,0.13509189929651091,0.0,0.5
7,NmfL1Estimator,50,{},0,1,0.32288159290318486,0.08609576427255985,0.07924045858162782,0.0,0.5
8,ModifiedNMF,50,{},0,2,0.16776441723593324,0.19889502762430938,0.2794992394458931,0.0,0.5
9,NmfL2Estimator,50,{},0,2,0.1844771901435667,0.2559852670349908,0.3501079573926765,0.0,0.5
10,NmfHyperEstimator,50,{},0,2,0.49239333267255975,0.1141804788213628,0.1314913983417854,0.0,0.5
11,NmfL1Estimator,50,{},0,2,0.3277983968953453,0.08793738489871086,0.0969925490943964,0.0,0.5
12,ModifiedNMF,50,{},1,0,0.45592197283306124,0.20626151012891344,0.2521156512365649,0.1,0.5
13,NmfL2Estimator,50,{},1,0,0.4611147292404406,0.23664825046040516,0.3142741169731877,0.1,0.5
14,NmfHyperEstimator,50,{},1,0,0.4614265670665501,0.1712707182320442,0.22802648359453817,0.1,0.5
15,NmfL1Estimator,50,{},1,0,0.5233951656264146,0.0856353591160221,0.08666104844519673,0.1,0.5
16,ModifiedNMF,50,{},1,1,0.45505807243965707,0.19843462246777163,0.25953986700612935,0.1,0.5
17,NmfL2Estimator,50,{},1,1,0.46057104913508684,0.2283609576427256,0.30394315030435914,0.1,0.5
18,NmfHyperEstimator,50,{},1,1,0.45289778827428917,0.19521178637200737,0.2599619579672681,0.1,0.5
19,NmfL1Estimator,50,{},1,1,0.5227636027393019,0.08333333333333333,0.09499420203612384,0.1,0.5
20,ModifiedNMF,50,{},1,2,0.45669083892744733,0.21823204419889503,0.2897471276852957,0.1,0.5
21,NmfL2Estimator,50,{},1,2,0.4624494316140906,0.22559852670349909,0.29607899267321747,0.1,0.5
22,NmfHyperEstimator,50,{},1,2,0.4551451325477481,0.19889502762430938,0.2737953624812695,0.1,0.5
23,NmfL1Estimator,50,{},1,2,0.523190885953157,0.08379373848987108,0.0784790875547131,0.1,0.5
24,ModifiedNMF,50,{},2,0,0.5558281119379114,0.1919889502762431,0.26903573054805213,0.2,0.5
